"Notes","Year","Year Code","County","County Code",Deaths,Population,Crude Rate
,"1999","1999","Albany County, NY","36001",149,294692,50.6
,"1999","1999","Allegany County, NY","36003",35,49997,70.0
,"1999","1999","Bronx County, NY","36005",269,1317895,20.4
,"1999","1999","Broome County, NY","36007",116,200881,57.7
,"1999","1999","Cattaraugus County, NY","36009",56,84050,66.6
,"1999","1999","Cayuga County, NY","36011",57,82034,69.5
,"1999","1999","Chautauqua County, NY","36013",89,140087,63.5
,"1999","1999","Chemung County, NY","36015",56,91284,61.3
,"1999","1999","Chenango County, NY","36017",17,51286,Unreliable
,"1999","1999","Clinton County, NY","36019",43,79875,53.8
,"1999","1999","Columbia County, NY","36021",34,63217,53.8
,"1999","1999","Cortland County, NY","36023",36,48734,73.9
,"1999","1999","Delaware County, NY","36025",24,48069,49.9
,"1999","1999","Dutchess County, NY","36027",106,277586,38.2
,"1999","1999","Erie County, NY","36029",384,952546,40.3
,"1999","1999","Essex County, NY","36031",30,38664,77.6
,"1999","1999","Franklin County, NY","36033",27,51061,52.9
,"1999","1999","Fulton County, NY","36035",29,55011,52.7
,"1999","1999","Genesee County, NY","36037",34,60554,56.1
,"1999","1999","Greene County, NY","36039",31,47975,64.6
,"1999","1999","Herkimer County, NY","36043",39,64462,60.5
,"1999","1999","Jefferson County, NY","36045",53,112081,47.3
,"1999","1999","Kings County, NY","36047",489,2447352,20.0
,"1999","1999","Lewis County, NY","36049",11,26914,Unreliable
,"1999","1999","Livingston County, NY","36051",22,64243,34.2
,"1999","1999","Madison County, NY","36053",34,69523,48.9
,"1999","1999","Monroe County, NY","36055",244,733679,33.3
,"1999","1999","Montgomery County, NY","36057",25,49918,50.1
,"1999","1999","Nassau County, NY","36059",370,1330815,27.8
,"1999","1999","New York County, NY","36061",406,1535624,26.4
,"1999","1999","Niagara County, NY","36063",124,220556,56.2
,"1999","1999","Oneida County, NY","36065",145,235412,61.6
,"1999","1999","Onondaga County, NY","36067",218,458575,47.5
,"1999","1999","Ontario County, NY","36069",41,99802,41.1
,"1999","1999","Orange County, NY","36071",111,336630,33.0
,"1999","1999","Orleans County, NY","36073",20,44183,45.3
,"1999","1999","Oswego County, NY","36075",78,122199,63.8
,"1999","1999","Otsego County, NY","36077",31,61629,50.3
,"1999","1999","Putnam County, NY","36079",24,94647,25.4
,"1999","1999","Queens County, NY","36081",408,2208975,18.5
,"1999","1999","Rensselaer County, NY","36083",101,152392,66.3
,"1999","1999","Richmond County, NY","36085",123,437814,28.1
,"1999","1999","Rockland County, NY","36087",90,285265,31.5
,"1999","1999","St. Lawrence County, NY","36089",80,112202,71.3
,"1999","1999","Saratoga County, NY","36091",76,198641,38.3
,"1999","1999","Schenectady County, NY","36093",74,146857,50.4
,"1999","1999","Schoharie County, NY","36095",25,31537,79.3
,"1999","1999","Seneca County, NY","36099",20,33231,60.2
,"1999","1999","Steuben County, NY","36101",75,98458,76.2
,"1999","1999","Suffolk County, NY","36103",411,1406161,29.2
,"1999","1999","Sullivan County, NY","36105",39,73341,53.2
,"1999","1999","Tioga County, NY","36107",29,51892,55.9
,"1999","1999","Tompkins County, NY","36109",28,96656,29.0
,"1999","1999","Ulster County, NY","36111",97,176526,54.9
,"1999","1999","Warren County, NY","36113",36,63031,57.1
,"1999","1999","Washington County, NY","36115",31,61043,50.8
,"1999","1999","Wayne County, NY","36117",43,93790,45.8
,"1999","1999","Westchester County, NY","36119",296,918532,32.2
,"1999","1999","Wyoming County, NY","36121",18,43584,Unreliable
,"2000","2000","Albany County, NY","36001",144,294565,48.9
,"2000","2000","Allegany County, NY","36003",24,49927,48.1
,"2000","2000","Bronx County, NY","36005",282,1332650,21.2
,"2000","2000","Broome County, NY","36007",111,200536,55.4
,"2000","2000","Cattaraugus County, NY","36009",45,83955,53.6
,"2000","2000","Cayuga County, NY","36011",44,81963,53.7
,"2000","2000","Chautauqua County, NY","36013",107,139750,76.6
,"2000","2000","Chemung County, NY","36015",66,91070,72.5
,"2000","2000","Chenango County, NY","36017",24,51401,46.7
,"2000","2000","Clinton County, NY","36019",36,79894,45.1
,"2000","2000","Columbia County, NY","36021",59,63094,93.5
,"2000","2000","Cortland County, NY","36023",34,48599,70.0
,"2000","2000","Delaware County, NY","36025",16,48055,Unreliable
,"2000","2000","Dutchess County, NY","36027",91,280150,32.5
,"2000","2000","Erie County, NY","36029",422,950265,44.4
,"2000","2000","Essex County, NY","36031",19,38851,Unreliable
,"2000","2000","Franklin County, NY","36033",30,51134,58.7
,"2000","2000","Fulton County, NY","36035",41,55073,74.4
,"2000","2000","Genesee County, NY","36037",33,60370,54.7
,"2000","2000","Greene County, NY","36039",33,48195,68.5
,"2000","2000","Herkimer County, NY","36043",46,64427,71.4
,"2000","2000","Jefferson County, NY","36045",42,111738,37.6
,"2000","2000","Kings County, NY","36047",393,2465326,15.9
,"2000","2000","Lewis County, NY","36049",13,26944,Unreliable
,"2000","2000","Livingston County, NY","36051",24,64328,37.3
,"2000","2000","Madison County, NY","36053",29,69441,41.8
,"2000","2000","Monroe County, NY","36055",249,735343,33.9
,"2000","2000","Montgomery County, NY","36057",26,49708,52.3
,"2000","2000","Nassau County, NY","36059",365,1334544,27.4
,"2000","2000","New York County, NY","36061",274,1537195,17.8
,"2000","2000","Niagara County, NY","36063",111,219846,50.5
,"2000","2000","Oneida County, NY","36065",176,235469,74.7
,"2000","2000","Onondaga County, NY","36067",214,458336,46.7
,"2000","2000","Ontario County, NY","36069",56,100224,55.9
,"2000","2000","Orange County, NY","36071",122,341367,35.7
,"2000","2000","Orleans County, NY","36073",17,44171,Unreliable
,"2000","2000","Oswego County, NY","36075",67,122377,54.7
,"2000","2000","Otsego County, NY","36077",39,61676,63.2
,"2000","2000","Putnam County, NY","36079",18,95745,Unreliable
,"2000","2000","Queens County, NY","36081",389,2229379,17.4
,"2000","2000","Rensselaer County, NY","36083",91,152538,59.7
,"2000","2000","Richmond County, NY","36085",134,443728,30.2
,"2000","2000","Rockland County, NY","36087",74,286753,25.8
,"2000","2000","St. Lawrence County, NY","36089",64,111931,57.2
,"2000","2000","Saratoga County, NY","36091",71,200635,35.4
,"2000","2000","Schenectady County, NY","36093",67,146555,45.7
,"2000","2000","Schoharie County, NY","36095",14,31582,Unreliable
,"2000","2000","Schuyler County, NY","36097",15,19224,Unreliable
,"2000","2000","Seneca County, NY","36099",13,33342,Unreliable
,"2000","2000","Steuben County, NY","36101",54,98726,54.7
